|fn_cv|fp_cv|k_cv
0|0.4|5.511111111|10
1|0.688888889|5.355555556|10
2|0.377777778|5.533333333|10
3|0.666666667|5.111111111|10
4|0.333333333|5.555555556|10
5|0.355555556|5.644444444|10
6|0.355555556|5.533333333|10
7|0.333333333|5.511111111|10
8|0.622222222|5.422222222|10
9|0.333333333|5.288888889|10
10|0.378947368|5.494736842|20
11|0.336842105|5.6|20
12|0.378947368|5.536842105|20
13|0.652631579|5.2|20
14|0.652631579|5.242105263|20
15|0.357894737|5.536842105|20
16|0.357894737|5.473684211|20
17|0.357894737|5.452631579|20
18|0.378947368|5.684210526|20
19|0.652631579|5.263157895|20
20|0.357894737|5.515789474|20
21|0.568421053|5.178947368|20
22|0.652631579|5.368421053|20
23|0.673684211|5.242105263|20
24|0.631578947|5.284210526|20
25|0.357894737|5.578947368|20
26|0.357894737|5.452631579|20
27|0.652631579|5.178947368|20
28|0.336842105|5.621052632|20
29|0.378947368|5.557894737|20
30|0.372439479|5.586592179|30
31|0.351748396|5.524518932|30
32|0.372439479|5.524518932|30
33|0.372439479|5.441754604|30
34|0.641423546|5.255534864|30
35|0.620732464|5.193461618|30
36|0.620732464|5.255534864|30
37|0.372439479|5.545210014|30
38|0.372439479|5.441754604|30
39|0.351748396|5.483136768|30
40|0.372439479|5.565901097|30
41|0.662114629|5.131388372|30
42|0.372439479|5.545210014|30
43|0.600041382|5.234843782|30
44|0.662114629|5.255534864|30
45|0.662114629|5.152079454|30
46|0.351748396|5.545210014|30
47|0.331057314|5.607283261|30
48|0.372439479|5.627974343|30
49|0.372439479|5.607283261|30
50|0.351675631|5.668183699|30
51|0.330988829|5.523376086|30
52|0.351675631|5.544062888|30
53|0.372362433|5.502689284|30
54|0.372362433|5.502689284|30
55|0.372362433|5.585436492|30
56|0.661977658|5.254447662|30
57|0.330988829|5.606123293|30
58|0.372362433|5.626810095|30
59|0.641290856|5.275134464|30
60|0.656410256|5.251282051|40
61|0.656410256|5.271794872|40
62|0.635897436|5.148717949|40
63|0.656410256|5.230769231|40
64|0.348717949|5.497435897|40
65|0.369230769|5.620512821|40
66|0.369230769|5.517948718|40
67|0.369230769|5.517948718|40
68|0.369230769|5.579487179|40
69|0.369230769|5.497435897|40
70|0.348717949|5.476923077|40
71|0.348717949|5.517948718|40
72|0.369230769|5.456410256|40
73|0.348717949|5.641025641|40
74|0.348717949|5.538461538|40
75|0.369230769|5.579487179|40
76|0.635897436|5.21025641|40
77|0.656410256|5.251282051|40
78|0.369230769|5.415384615|40
79|0.635897436|5.251282051|40
80|0.348717949|5.558974359|40
81|0.348717949|5.620512821|40
82|0.635897436|5.230769231|40
83|0.369230769|5.6|40
84|0.369230769|5.579487179|40
85|0.369230769|5.558974359|40
86|0.369230769|5.476923077|40
87|0.369230769|5.558974359|40
88|0.369230769|5.538461538|40
89|0.348717949|5.6|40
90|0.369230769|5.538461538|40
91|0.656410256|5.230769231|40
92|0.328205128|5.538461538|40
93|0.348717949|5.579487179|40
94|0.328205128|5.497435897|40
95|0.656410256|5.312820513|40
96|0.369230769|5.661538462|40
97|0.635897436|5.21025641|40
98|0.348717949|5.6|40
99|0.369230769|5.497435897|40
100|0.367346939|5.571428571|50
101|0.367346939|5.591836735|50
102|0.632653061|5.244897959|50
103|0.367346939|5.551020408|50
104|0.367346939|5.591836735|50
105|0.653061224|5.285714286|50
106|0.346938776|5.428571429|50
107|0.612244898|5.265306122|50
